modelName,formula,isMonotonic,selectionScore,trainRmse,trainCorr,validationRmse,validationCorr,validationLowRmse,validationLowBias,validationLowCount
WeightedLinear,SpO2 = -15.882844799 * R + 103.011703551,1,3.77859042649443,1.48564440063472,0.274456423863294,2.02389129651247,0.390676343073686,4.82420964174307,4.4966706696534,5187
WeightedQuadratic,SpO2 = -79.156761415 * R^2 + 77.253664137 * R + 75.944748062,0,3.33463983053043,1.43771033267365,0.316571865832387,1.96288625851187,0.457856930222498,4.20552868430237,3.77570866057605,5187
WeightedPiecewiseLinear,SpO2 = piecewise([100.189675242 -10.578951721 0.575188393 -20.702560880]),1,3.61726937029629,1.46335390610542,0.287389527618489,1.97649649281354,0.451546849419276,4.59460273470505,4.28962183597139,5187
WeightedLowSpO2Segmented,SpO2 = segmented([100.041397162 -10.506621297 0.555905656 0.015891933 0.594358675 -47.439907293]),0,2.95171793394728,1.49966009904323,0.337101748452589,1.92177298266844,0.492098071267656,3.80391054168289,2.83668823128011,5187
