modelName,formula,isMonotonic,selectionScore,trainRmse,trainCorr,validationRmse,validationCorr,validationLowRmse,validationLowBias,validationLowCount
WeightedLinear,SpO2 = -28.726416115 * R + 109.447439123,1,2.7050917531323,1.6924475964622,0.631428399014146,2.37641799110112,0.68524117213603,3.47266416127648,1.55323291836245,1971
WeightedQuadratic,SpO2 = -16.567031678 * R^2 + -6.051443714 * R + 102.101206870,1,2.39572958872997,1.63676930252604,0.650260546020066,2.22042485249558,0.720127191511111,3.11905278285921,1.07503569034936,1971
WeightedPiecewiseLinear,SpO2 = piecewise([101.460299907 -13.434031483 0.560613540 -33.216819185]),1,2.50551985887522,1.59254725217077,0.667963900402164,2.14829039896534,0.697776729099971,3.42003436694215,1.07301377056689,1971
WeightedLowSpO2Segmented,SpO2 = segmented([101.949621308 -14.423940287 0.544180892 -24.963103582 0.569476877 -33.662321942]),1,2.47430527378345,1.61704323866194,0.665206718880217,2.25450345876151,0.697412860522726,3.38369600567833,0.812829303308362,1971
