segmentIndex,startWindow,endWindow,quality,smoothedRmse,smoothedCorr,smoothedStdRatio,smoothedLowRecall,lowEventRatio,rawCorr,classicCorr,rawWindowClassicCorr,beat15Rmse,beat30Rmse,beat60Rmse,beat15Corr,beat30Corr,beat60Corr,beat15StdRatio,beat30StdRatio,beat60StdRatio,beat15LowRecall,beat30LowRecall,beat60LowRecall,meanBeat15Count,meanBeat30Count,meanBeat60Count,meanBeat15ValidRatio,meanBeat30ValidRatio,meanBeat60ValidRatio,meanBeat15RedPI,meanBeat30RedPI,meanBeat60RedPI,meanBeat15IRPI,meanBeat30IRPI,meanBeat60IRPI,meanBeat15GreenPI,meanBeat30GreenPI,meanBeat60GreenPI,meanRedPI,meanIRPI,meanProjectionGuardRatio,meanConfidence,spo2Min,spo2Max
11,3001,3300,Failed,0.726430972472765,0.294712115316985,0.225597627989123,NaN,0,-0.0635968935861891,-0.0711925705472932,0.00522254938146428,0.789940230130373,0.775158636781511,0.743861491572899,-0.0351602474026211,-0.0893110131038507,0.0887255444393172,0.388973848026956,0.27440250874255,0.202854083775285,NaN,NaN,NaN,15.32,30.6633333333333,61.3466666666667,1,1,1,0.0105617135152687,0.0106129226489606,0.0106938021728438,0.0203363208256333,0.0204114282295767,0.0205826012373104,0.0361803498561895,0.0361050034308803,0.0361876107633465,0.0107919168022151,0.0207702428723375,149959.677447917,0.942828843394915,94,95
12,3301,3600,Failed,0.699764398479354,-0.0425520530680252,0.346023139560862,NaN,0,0.0165313021855958,0.000530673799974516,0.00384521522712009,0.64279529240213,0.662742713792206,0.682840785204332,0.277847967896498,0.157867747583206,-0.0330615356887854,0.475535067193298,0.368680049960723,0.285434841390771,NaN,NaN,NaN,15.45,30.8833333333333,61.7333333333333,1,1,1,0.00946024987386344,0.00951595198789399,0.00955814822763617,0.0181287583798013,0.0182510389360879,0.0183379138167497,0.0301725370149911,0.0304231505838299,0.0307077353650363,0.00999249577677498,0.0191485475779821,149943.298645833,0.946219174663226,94,95
13,3601,3900,Failed,0.688501270360816,-0.0295356809354131,0.343951753327369,NaN,0,-0.153449179880056,-0.161380555818573,-0.0856589144436124,0.725312853629049,0.718287789810473,0.681253785549035,-0.0892177860547413,-0.235460816171947,-0.116350168225585,0.582817536351233,0.40416248551139,0.242228828054776,NaN,NaN,NaN,15.5,30.9866666666667,61.99,1,1,1,0.00843790795373161,0.00848709506310518,0.00855879168933386,0.0160773784023256,0.0161811597959909,0.0163006242875861,0.0266128260306038,0.026608657486916,0.0265818803391105,0.00884066220838577,0.0168156719921778,149939.773125,0.943642089764277,94,95
14,3901,4200,Failed,0.5557496415313,0.198505118370285,0.377921857355859,NaN,0,-0.0206803692327904,0.0167890861252347,0.0640420949652547,0.955802912779563,0.661677030240188,0.548371420304968,-0.0156163483312231,0.0403025220444074,0.351421610938997,1.72811242563376,0.76898252302397,0.23716148955222,NaN,NaN,NaN,15.5666666666667,30.9266666666667,61.5733333333333,1,1,1,0.00846101376738557,0.00864159301722574,0.00887901542341527,0.0160307738620999,0.0163640049706433,0.0167729172516281,0.0268435596820326,0.0271143483878027,0.0274718906240666,0.0087884139851667,0.0165772632773345,149526.116458333,0.935518735051155,94,95
15,4201,4500,Failed,1.18274734002455,-0.41971864471382,1.4144270694024,NaN,0,-0.485702239875632,-0.483272761992173,-0.104182523652114,1.26834969549844,1.26927797362196,1.18392655636431,-0.52526218427354,-0.573254202248902,-0.477784372782609,1.32691701745584,1.37033376536556,1.22585344618829,NaN,NaN,NaN,15.2833333333333,30.81,61.9733333333333,1,1,1,0.00753347447733112,0.00739164879271841,0.00733532570651034,0.0145103918216992,0.0142561165390701,0.0141742412946876,0.0195414451421191,0.0192736518590898,0.0193608325358307,0.0080364242537568,0.0154981748790791,149987.34953125,0.952338021000226,94,96
16,4501,4800,Failed,1.59278648601438,-0.358259563726163,0.557149846993881,NaN,0,-0.105540086360133,-0.144815777343627,-0.224289141912754,1.61958035942859,1.55962145523645,1.55029115175818,-0.292728521480155,-0.357300638907589,-0.547880808924952,0.619138739687999,0.520158937208489,0.428710405278395,NaN,NaN,NaN,15.6733333333333,31.3233333333333,62.7866666666667,1,1,1,0.00759614354017339,0.00772145650202818,0.00800877450798233,0.0149265744532267,0.015206872053463,0.0157183303469104,0.0263058299230952,0.0264646675695267,0.0266866565788774,0.00862631167285144,0.0171188236004673,149667.97578125,0.929512352546056,93,97
17,4801,5100,Failed,0.810581854863306,0.343118142419814,0.329451683106563,NaN,0,-0.145125266197799,-0.15680950101211,-0.0932701875976574,0.911599588469179,0.789948382974717,0.793966767205171,0.0599610326485614,0.33361868277388,0.30928917514654,0.541178983253359,0.432052409566066,0.29644964059624,NaN,NaN,NaN,16.08,32.16,64.1466666666667,1,1,1,0.00733160824563549,0.00746935731650461,0.00737826597789376,0.0147103592532882,0.0149783281661766,0.0147455695280511,0.0287580521201082,0.0284216633251571,0.0277203723704356,0.008111209863564,0.0162668294040486,149842.338229167,0.941849234302839,93,97
18,5101,5400,Failed,1.28574343627011,-0.411369892035373,0.564698228470684,NaN,0,-0.230226409366022,-0.235067206500943,-0.0101845562913108,1.20312958659637,1.14064001072496,1.17789945081004,-0.381776473301995,-0.341900919376085,-0.59249329915381,0.556619845686256,0.469634257117881,0.402017446960904,NaN,NaN,NaN,16.2766666666667,32.5533333333333,64.8733333333333,1,1,1,0.00529902353262161,0.00520363858308011,0.00524165653256989,0.0102730218644513,0.0101584007171445,0.0102320594345759,0.0170771818267662,0.0170054132403448,0.0174128965667687,0.00619411636725999,0.012372470330447,149697.340729167,0.925025737682978,93,97
19,5401,5700,Failed,2.33261733440924,0.628875587626354,0.622567201054558,0.220994475138122,0.603333333333333,0.391431766244036,0.375108070251806,0.0305637628346527,2.34983168539194,2.19222585629429,2.06582319677721,0.428729217370741,0.543625267965338,0.622614970134926,0.833604128219012,0.670813494424877,0.493332834174243,0.453038674033149,0.38121546961326,0.359116022099448,15.42,30.86,62.0966666666667,1,1,1,0.00502357504045893,0.00494358774897331,0.00500589527896319,0.00954625434059249,0.00937436307549051,0.00942662624817924,0.0159490391729941,0.0157848480690978,0.0154546438049479,0.00515713814257955,0.00976976161279405,149692.953854167,0.914561255375544,91,96
20,5701,6000,Failed,2.58155176773258,-0.814336016481953,0.247833984559717,0,0.05,-0.697767916902725,-0.696445086894548,-0.3154373655645,2.6095807338786,2.64388205987709,2.58900074051251,-0.771966825693702,-0.76610362496298,-0.797342560935632,0.206908897867771,0.277651708865388,0.210192506760103,0,0,0,15.35,30.67,61.0933333333333,1,1,1,0.00689531077555584,0.00683430863341416,0.00678168055842316,0.0129009804931798,0.0127818348591244,0.01263740271295,0.0162699204222256,0.0161240823372286,0.0160698015462627,0.00738878072084238,0.0137694013211876,149990.002916667,0.959136206706365,91,97
