segmentIndex,startWindow,endWindow,centerMinutes,currentRmse,beat15Rmse,beat30Rmse,beat60Rmse,currentCorr,beat15Corr,beat30Corr,beat60Corr,currentRSnrDb,beat15RSnrDb,beat30RSnrDb,beat60RSnrDb,currentLowRecall,beat15LowRecall,beat30LowRecall,beat60LowRecall,meanBeat15Count,meanBeat30Count,meanBeat60Count,meanBeat15ValidRatio,meanBeat30ValidRatio,meanBeat60ValidRatio,beat30ClassValue,beat30Quality,spo2Min,spo2Max
11,3001,3300,52.4916666666667,0.596483120110287,0.752845147151098,0.613397508099544,0.618614658622472,0.283724269093737,-0.330956679898923,0.138488383219112,0.0487277341251621,-10.5777047049791,-9.10075856917003,-17.0876305123809,-26.2341515477743,NaN,NaN,NaN,NaN,17.1333333333333,34.28,68.55,1,1,1,1,Failed,95,96
12,3301,3600,57.4916666666667,0.636500497458285,0.82504767660296,0.633383224960739,0.653411328379781,0.483082330083747,0.219181652837795,0.50741746500968,0.331195675511786,-5.16542920043254,-12.9701003280147,-4.59981729543741,-9.09371655738988,NaN,NaN,NaN,NaN,17.3833333333333,34.76,69.6033333333333,1,1,1,2,Borderline,95,97
13,3601,3900,62.4916666666667,0.678326387902039,0.805498082032645,0.69740266258409,0.663115609468774,0.316372663399449,0.0487896888658576,0.12515029435013,0.221935060438192,-9.53802425742487,-26.2230886113919,-17.9828023738062,-12.8561214037292,NaN,NaN,NaN,NaN,17.27,34.59,69.27,1,1,1,1,Failed,95,97
14,3901,4200,67.4916666666667,0.667502529121988,0.747784663695223,0.681559686169004,0.685926903273511,0.557138679035354,0.212455167422312,0.305722941627317,0.309444121055272,-3.46668827953089,-13.2540637776633,-9.86727790146938,-9.75121324674981,NaN,NaN,NaN,NaN,17.3,34.37,68.29,1,1,1,1,Failed,94,96
15,4201,4500,72.4916666666667,0.781414986678719,0.903796628211398,0.854520874221476,0.798637933131529,0.540825001119726,0.00899113844670553,0.223005509146688,0.329240563741529,-3.83617462256709,-40.9233551989086,-12.8121516882765,-9.15143703724459,NaN,NaN,NaN,NaN,18.7133333333333,37.1666666666667,72.9733333333333,1,1,1,1,Failed,95,96
16,4501,4800,77.4916666666667,0.779100740250827,0.829646703654204,0.802278873945783,0.743887239511772,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.7233333333333,43.8066666666667,88.6733333333333,1,1,1,0,Unknown,96,96
17,4801,5100,82.4916666666667,0.913343170850735,0.840967587274285,0.85081523609034,0.891275634233691,0.423541739416157,0.664758341218111,0.601648378435411,0.79454510115737,-6.6035504564845,-1.01381589566063,-2.4614826670117,2.33566229991131,NaN,NaN,NaN,NaN,22.13,44.3333333333333,88.87,1,1,1,3,Good,95,96
18,5101,5400,87.4916666666667,1.29026340214188,1.26693459231709,1.21083974811949,1.15107536638937,0.52218779307851,0.400209242363945,0.585443884937312,0.681578940875676,-4.26072306704128,-7.19618481391759,-2.8276365284388,-0.616867157651585,NaN,NaN,NaN,NaN,20.4666666666667,40.7566666666667,81.08,1,1,1,2,Borderline,93,96
19,5401,5700,92.4916666666667,0.76720713872961,0.831412588007742,0.795996880594412,0.763145162880715,0.357228937224963,0.0788158225751312,0.281345016557381,0.215826056517397,-8.34813474733671,-22.0406695221107,-10.6570807179482,-13.1107610292486,NaN,NaN,NaN,NaN,23.93,47.5433333333333,95.1633333333333,1,1,1,1,Failed,95,96
20,5701,6000,97.4916666666667,0.605001620335859,1.00799509405742,0.774261443397924,0.690602762285375,0.452540950459618,-0.231056043877288,0.00291387137464834,0.103083977961501,-5.89162553430575,-12.4873784616698,-50.7105555845292,-19.6897801986347,NaN,NaN,NaN,NaN,23.2066666666667,46.8333333333333,93.62,1,1,1,1,Failed,94,97
