featureName,spo2Rmse,spo2Corr,spo2StdRatio,lowRecall,featureCorr,featureAbsCorr,rSnr,rSnrDb,validRatio,meanBeatCount,meanBeatValidRatio,meanRedPI,meanIRPI
current,1.68247908282765,0.211869379075243,0.566396443080251,0.180892717306186,-0.207526010981286,0.207526010981286,0.212144502870673,-13.467364345481,1,NaN,NaN,0.00187180242283597,0.00363090741914025
beat15,1.7589428305264,0.145682453560022,0.588984494066352,0.18167580266249,-0.150625524682062,0.150625524682062,0.152363860454465,-16.3423606424019,0.997137859755128,14.8854746382573,0.999930228454366,0.00675088515962505,0.0130822127648731
beat30,1.7100881965408,0.172139042209111,0.545527733126349,0.212999216914644,-0.184951131766525,0.184951131766525,0.188197976167688,-14.5077010234814,0.997535379233582,29.7620448401972,0.999932782177702,0.00677450171398635,0.0131403024878137
beat60,1.66574281239195,0.204814660223493,0.507495407429898,0.220046985121378,-0.214289615244267,0.214289615244267,0.21938591318395,-13.1758252401384,0.9982509142948,59.4883526792813,0.99994799056234,0.00681140775878497,0.0132056458937326
raw,1.94809443479667,0.110067086537032,0.789127580019856,0.163664839467502,-0.0442546425078537,0.0442546425078537,0.0442980420356022,-27.0723093815999,0.999880744156464,NaN,NaN,NaN,NaN
fixed,1.90636002487017,0.119516277041926,0.753454298926504,0.163664839467502,-0.11253382042955,0.11253382042955,0.113253216752749,-18.9189890758163,1,NaN,NaN,NaN,NaN
classic,1.96015034681761,0.0933610361138813,0.780594304667326,0.17541111981206,-0.0716450073284345,0.0716450073284345,0.071829595416934,-22.8739315948167,1,NaN,NaN,NaN,NaN
redPI,NaN,NaN,NaN,NaN,-0.168172313156233,0.168172313156233,0.170602094073233,-15.3603128468555,1,NaN,NaN,NaN,NaN
irPI,NaN,NaN,NaN,NaN,-0.161647748029782,0.161647748029782,0.163801986232884,-15.7136167273666,1,NaN,NaN,NaN,NaN
