dataID,featureName,spo2Rmse,spo2Corr,spo2StdRatio,lowRecall,featureCorr,rSnr,rSnrDb,featureValidRatio,meanBeatCount,meanBeatValidRatio,meanRedPI,meanIRPI,baseTimeOffset,spo2TimeOffset,prTimeOffset,totalSpo2Offset,totalPROffset,windowCount
1001,current,3.17722773906027,0.212013156300182,1.06478594850786,0.44,-0.212013227216593,0.216945083964936,-13.2730037331053,1,NaN,NaN,0.00357085056447634,0.00617638740661682,0,850,-200,850,-200,23252
1001,beat30,3.29750756470626,0.219242512566285,1.07889954045232,0.44,-0.219242512566285,0.224709608464288,-12.9675671396189,1,29.8863352700667,1,0.0132320070859431,0.0228227782941705,0,850,-200,850,-200,23252
1002,current,1.34072058511513,0.47270336883159,0.760467465060374,0.902285525008281,-0.472703387353108,0.536418294300519,-5.40992838306493,1,NaN,NaN,0.00306242468625407,0.00539804966849227,-1500,-500,-1550,-2000,-3050,28596
1002,beat30,1.48795870688775,0.382555048910082,0.822817087114618,0.867174561112951,-0.377678859963648,0.407888444852895,-7.78917195434491,0.997831106135871,29.122437556846,1,0.011854680021066,0.0208446236168639,-1500,-500,-1550,-2000,-3050,28596
1003,current,1.57169448248764,0.146348730039532,0.448317856023275,0.909769144144144,-0.146348703126929,0.147941580492675,-16.5981949189035,1,NaN,NaN,0.00336432818017507,0.00608780281769955,-1500,-450,-1750,-1950,-3250,29378
1003,beat30,1.6479118936518,0.0510580618797457,0.509570444864191,0.813626126126126,-0.0466825293424645,0.0467334792829114,-26.6074376955333,0.999659504920154,29.9724198985325,1,0.0127908041653215,0.0232012274580488,-1500,-450,-1750,-1950,-3250,29378
1004,current,4.05341711297245,0.249194041719798,1.07061156374679,NaN,-0.249194053702403,0.257311305960025,-11.7908226195026,1,NaN,NaN,0.0037848940861109,0.00616135752706838,0,850,-250,850,-250,13398
1004,beat30,4.39357179468344,0.142245049308639,1.35183871470087,NaN,-0.142245049308639,0.143706330941882,-16.8504819744679,1,33.4251550706225,1,0.0117502940501485,0.0192189738474476,0,850,-250,850,-250,13398
1005,current,1.1136870717231,0.429850859953792,0.44447997085708,0.73164861612515,-0.429850827921315,0.476078044030264,-6.44643694082593,1,NaN,NaN,0.00314690356523558,0.00582717895362845,-1500,-750,-1850,-2250,-3350,26935
1005,beat30,1.22682009493296,0.274242217048694,0.506791331367753,0.551143200962696,-0.274442116006244,0.285400460083723,-10.8909066222087,0.999591381872214,30.980646359584,1,0.0117099855897408,0.0217512686679254,-1500,-750,-1850,-2250,-3350,26935
1006,current,2.82127074612406,0.485870476696728,0.987127806575341,1,-0.485870455959919,0.555896241487499,-5.10012524586155,1,NaN,NaN,0.00498417302264845,0.00881572246597634,-1500,-800,-1950,-2300,-3450,20275
1006,beat30,2.87379140086857,0.343989256551511,1.10073639532319,1,-0.37315776781896,0.402210258559243,-7.91093713431539,0.997877486549188,33.2672886124685,1,0.0153832088289648,0.0273302099212775,-1500,-800,-1950,-2300,-3450,20275
1007,current,4.05232383450447,0.079249063821126,1.45082073670113,0.96875,-0.0792490301116766,0.0794990666306895,-21.9927594041085,1,NaN,NaN,0.00402007662626685,0.0067519678717994,-1500,-850,-1700,-2350,-3200,19380
1007,beat30,4.17797649256004,0.0300353952145047,1.5583299492194,1,-0.0673469351934372,0.0675001864123138,-23.4139005559047,0.995920053710685,30.6348706295512,0.999947830532916,0.0143310937907905,0.0241010400179194,-1500,-850,-1700,-2350,-3200,19380
1008,current,2.59781747644952,0.594692778208232,1.4092108768192,1,-0.594692764929801,0.739710808872483,-2.61876070425364,1,NaN,NaN,0.00546194458693875,0.00974269280086239,-1500,-450,-1550,-1950,-3050,19812
1008,beat30,2.65101002765652,0.488422656455313,1.48098244774233,0.5625,-0.493574940919536,0.567521082183832,-4.92036001464245,0.999495026006161,32.9420289855072,1,0.0174504394653335,0.0311866557813359,-1500,-450,-1550,-1950,-3050,19812
1009,current,2.83669667003818,0.559409087523039,0.573424985816257,0.143587477909619,-0.559409072902131,0.674887994530529,-3.41536594763357,1,NaN,NaN,0.00718642230897326,0.0139074855821952,-1500,-300,-1650,-1800,-3150,24839
