segmentIndex,startWindow,endWindow,centerMinutes,currentRmse,beat15Rmse,beat30Rmse,beat60Rmse,currentCorr,beat15Corr,beat30Corr,beat60Corr,currentRSnrDb,beat15RSnrDb,beat30RSnrDb,beat60RSnrDb,currentLowRecall,beat15LowRecall,beat30LowRecall,beat60LowRecall,meanBeat15Count,meanBeat30Count,meanBeat60Count,meanBeat15ValidRatio,meanBeat30ValidRatio,meanBeat60ValidRatio,beat30ClassValue,beat30Quality,spo2Min,spo2Max
1,1,300,2.49166666666667,2.60272058069814,2.31434675354958,2.46580683793402,2.63633494375042,-0.407253039327616,-0.309459416896457,-0.211275889286992,-0.0483694987390036,-7.01513093319338,-5.63191014751706,-5.67661504438759,-4.41047822234792,0,0,0,0,16.65,32.4666666666667,61.5866666666667,1,1,1,1,Failed,91,97
2,301,600,7.49166666666667,1.51423381277322,1.57914740300866,1.5592172651032,1.52746327598619,-0.52090536790828,-0.549114695193651,-0.552845484723189,-0.560991374900961,-4.2900770359413,-3.64823522260316,-3.56378330281585,-3.37961187944775,0,0,0,0,16.6933333333333,33.42,66.9633333333333,1,1,1,1,Failed,92,97
3,601,900,12.4916666666667,0.559619936322086,0.634641634328038,0.588998379084189,0.531653780224606,0.483117045091395,0.0327849126596647,0.113755206525469,0.547672148089908,-5.16467272633682,-29.6818488525709,-18.8240087756488,-3.6809098636012,NaN,NaN,NaN,NaN,16.36,32.69,65.25,1,1,1,1,Failed,94,95
4,901,1200,17.4916666666667,0.360848096922044,0.494764369724774,0.447195521329203,0.386311119635023,0.728481569309756,0.320473890356568,0.478738929688247,0.681283252439832,0.533707485075618,-9.41350661846148,-5.26749308794497,-0.623903456299329,NaN,NaN,NaN,NaN,16.3033333333333,32.66,65.4466666666667,1,1,1,2,Borderline,94,95
5,1201,1500,22.4916666666667,0.235005614492018,0.277428255985216,0.255108346389635,0.246116590039468,0.356034493090379,0.0598451994429291,0.194091528294985,0.299743672099031,-8.38145895851074,-24.4438316763885,-14.0731017882458,-10.0561470683344,NaN,NaN,NaN,NaN,15.91,31.82,63.7266666666667,1,1,1,1,Failed,94,95
6,1501,1800,27.4916666666667,0.409026353568979,0.454202051279158,0.430162839777366,0.417368573986349,0.118017610784956,-0.162883951238952,-0.0995386813641774,-0.0451330390036424,-18.5003207005167,-15.6456545321736,-19.996918074489,-26.9012528883807,NaN,NaN,NaN,NaN,15.8066666666667,31.6166666666667,63.2433333333333,1,1,1,1,Failed,94,95
7,1801,2100,32.4916666666667,0.428878150787964,0.480944147638103,0.456040885515374,0.451062534549453,0.310687546765919,0.0747792769697566,0.211047655639959,0.236110165490721,-9.71255262211903,-22.5000211221691,-13.314509397311,-12.2885853745177,NaN,NaN,NaN,NaN,15.7233333333333,31.4466666666667,62.8833333333333,1,1,1,1,Failed,94,95
8,2101,2400,37.4916666666667,0.471157542697454,0.408173786006113,0.426986778336099,0.450010363417306,-0.0340569564641521,0.44704314472919,0.323520876088813,0.0470365082452931,-29.3508387982022,-6.0247384774395,-9.32180574782708,-26.541679391978,NaN,NaN,NaN,NaN,15.6366666666667,31.2633333333333,62.5333333333333,1,1,1,1,Failed,94,95
9,2401,2700,42.4916666666667,0.469309208677572,0.473444095382854,0.464782249561911,0.455581427890168,-0.0631917718709431,0.0417792178891949,-0.0165009229700695,-0.00232160392775895,-23.9695545195196,-27.5732066391271,-35.6486526016422,-52.6842139950653,NaN,NaN,NaN,NaN,15.5633333333333,31.1266666666667,62.3066666666667,1,1,1,1,Failed,94,95
10,2701,3000,47.4916666666667,0.520925640346962,0.550324565173348,0.545766949265926,0.521131923910215,0.400574855309171,-0.0509721159720112,-0.115091708925233,0.267083289906296,-7.18674377202393,-25.8420484145471,-18.7212077355257,-11.1456635264215,NaN,NaN,NaN,NaN,15.48,30.9666666666667,61.9033333333333,1,1,1,1,Failed,94,95
11,3001,3300,52.4916666666667,0.560416187924709,0.629475685837903,0.613913602806329,0.580695906594197,0.294712674624075,-0.0351602474026204,-0.0893110131038487,0.0887255444393246,-10.2174365637075,-29.073589297581,-20.947119473865,-21.0047026334777,NaN,NaN,NaN,NaN,15.32,30.6633333333333,61.3466666666667,1,1,1,1,Failed,94,95
12,3301,3600,57.4916666666667,0.57644615341706,0.520992889261748,0.539400846174135,0.560621754972155,-0.0425544125282337,0.277847967896496,0.157867747583203,-0.0330615356887847,-27.4137188221477,-10.7749337468698,-15.924524321122,-29.6087898335359,NaN,NaN,NaN,NaN,15.45,30.8833333333333,61.7333333333333,1,1,1,1,Failed,94,95
13,3601,3900,62.4916666666667,0.534566316896307,0.583414354069483,0.571697822216132,0.527344078533418,-0.0295345132206876,-0.0892177860547409,-0.235460816171948,-0.116350168225576,-30.5892699941016,-20.9562638140159,-12.3139143434059,-18.6254661017102,NaN,NaN,NaN,NaN,15.5,30.9866666666667,61.99,1,1,1,1,Failed,94,95
14,3901,4200,67.4916666666667,0.422333188358452,0.855942569495538,0.533450862761504,0.406411551311783,0.198504726982702,-0.015616348331224,0.0403025220444084,0.351421610938993,-13.8699722768057,-36.127351003277,-27.88629556467,-8.51096402742912,NaN,NaN,NaN,NaN,15.5666666666667,30.9266666666667,61.5733333333333,1,1,1,1,Failed,94,95
15,4201,4500,72.4916666666667,1.31778715344527,1.42325195826551,1.41602130344543,1.33638664040616,-0.419718881706524,-0.525262184273541,-0.573254202248902,-0.477784372782609,-6.69924378843528,-4.19046059564602,-3.10273659638844,-5.28997051794888,NaN,NaN,NaN,NaN,15.2833333333333,30.81,61.9733333333333,1,1,1,1,Failed,94,96
16,4501,4800,77.4916666666667,1.58377614570306,1.60300791351623,1.55163302844821,1.56504020485993,-0.358260165051305,-0.292728521480155,-0.357300638907587,-0.547880808924953,-8.31946591445169,-10.281633973982,-8.34616336127427,-3.67618281045367,NaN,NaN,NaN,NaN,15.6733333333333,31.3233333333333,62.7866666666667,1,1,1,1,Failed,93,97
17,4801,5100,82.4916666666667,0.746789139378889,0.874592028260813,0.745885222128745,0.748037308999684,0.343116541689998,0.0599610326485617,0.33361868277388,0.30928917514654,-8.74714118621354,-24.4269754901647,-9.02253756941399,-9.75602398928926,NaN,NaN,NaN,NaN,16.08,32.16,64.1466666666667,1,1,1,1,Failed,93,97
18,5101,5400,87.4916666666667,1.2252482726361,1.18011546801276,1.11202708586769,1.14704768568573,-0.411369670871448,-0.381776473301996,-0.341900919376083,-0.592493299153812,-6.91018315351684,-7.67964998593085,-8.78211197280287,-2.66845482016598,NaN,NaN,NaN,NaN,16.2766666666667,32.5533333333333,64.8733333333333,1,1,1,1,Failed,93,97
19,5401,5700,92.4916666666667,2.12174113986351,2.15462116825611,1.98730746841123,1.85690618372904,0.628875584060123,0.428729217370741,0.543625267965338,0.622614970134925,-1.84277965140062,-6.47425776633598,-3.77264200489026,-1.98561029709183,0.403314917127072,0.535911602209945,0.685082872928177,0.712707182320442,15.42,30.86,62.0966666666667,1,1,1,2,Borderline,91,96
20,5701,6000,97.4916666666667,2.7508992366518,2.78738383498346,2.81632128825986,2.76416801288007,-0.814335935692709,-0.771966825693701,-0.76610362496298,-0.797342560935632,2.94161900327011,1.68743655239866,1.52535361552981,2.41896484622251,0,0,0,0,15.35,30.67,61.0933333333333,1,1,1,1,Failed,91,97
21,6001,6300,102.491666666667,2.3894926299836,2.40937288600096,2.41186194793535,2.43126092081632,-0.269443548067872,-0.276148011587793,-0.426584825156868,-0.36331213967589,-11.0633954996494,-10.8326697902079,-6.52755977378115,-8.17962052052396,NaN,NaN,NaN,NaN,15.6966666666667,31.37,62.75,1,1,1,1,Failed,95,97
