featureName,spo2Rmse,spo2Corr,spo2StdRatio,lowRecall,featureCorr,featureAbsCorr,rSnr,rSnrDb,validRatio,meanBeatCount,meanBeatValidRatio,meanRedPI,meanIRPI
current,1.05863746829682,0.431903240105948,0.600938782938494,0,-0.43190323331238,0.43190323331238,0.478870916523911,-6.39563076705045,1,NaN,NaN,0.00239082818204799,0.00510575231430404
beat15,1.18716680472871,0.141320914806972,0.872872316343697,0,-0.140970526117981,0.140970526117981,0.142392486936434,-16.9302584960236,0.999622035339696,18.5315128035529,1,0.00819233515698078,0.0174827923198061
beat30,1.09787701250751,0.28544164501013,0.673413271949901,0,-0.283916195991552,0.283916195991552,0.296101019901847,-10.5712019341471,0.998960597184163,37.0376074837003,1,0.00834272529386465,0.0178625514568509
beat60,1.0663180066824,0.378615682815753,0.57056598130528,0,-0.380785540413874,0.380785540413874,0.411809905460235,-7.7060642259973,0.997732212038174,73.9799678730039,1,0.0085395922744648,0.0183858455612274
raw,1.2822951374008,0.0860589777446905,1.03627334207881,0,-0.0860589777446903,0.0860589777446903,0.0863794416475328,-21.2717921507529,1,NaN,NaN,NaN,NaN
fixed,1.2822951374008,0.0860589777446905,1.03627334207881,0,-0.0860589777446903,0.0860589777446903,0.0863794416475328,-21.2717921507529,1,NaN,NaN,NaN,NaN
classic,1.29738345218187,0.0859994978278131,1.09462811985441,0,-0.085999497827813,0.085999497827813,0.0863192952496878,-21.2778422817998,1,NaN,NaN,NaN,NaN
redPI,NaN,NaN,NaN,NaN,0.0527873342632237,0.0527873342632237,0.0528610343467814,-25.5372868631688,1,NaN,NaN,NaN,NaN
irPI,NaN,NaN,NaN,NaN,0.0723316050681942,0.0723316050681942,0.0725215652330531,-22.7906566219382,1,NaN,NaN,NaN,NaN
